ResponseID,Career,ProgramDescr,Level,AcadPlan1Name,AcadPlan1,AcadPlan1Type,DormBuilding,OrignAddrCntry,Q1.a,Q1.b,Q1.c,Q1.d,Q1.e,Q1.f,Q1.g,Q1.h,Q1.1,Q1.2,Q2.a,Q2.b,Q2.c,Q2.d,Q2.e,Q2.f,Q3.a,Q3.b,Q3.c,Q3.d,Q3.e,Q3.f,Q3.g,Q3.h,Q3.i,Q3.j,Q3.k,Q3.l,Q3.m,Q3.n,Q3.o,Q3.1.a,Q3.1.b,Q3.1.c,Q3.1.d,Q4.1,Q4.2,Q4.3,Q5.1,Q5.2,Q5.3,Q5.4,Q5.5a,Q5.5.b,Q5.5.c,Q5.5.d,Q5.5.e
R_1eDACKuKlaV6VZA,GBUS,Modular Executive MBA,Grad Yr 1,Business Administration,BUSMBAME,Major,No Dorm,USA,6,6,6,2,3,1,1,4,4,5,7,6,6,5,5,4,5,5,0,2,2,5,3,2,3,1,3,2,3,4,4,1,1,0,0,2,0,1,1,4,4,4,1,0,0,0,0
R_1jCGQEXN6b2IFdc,GSAS,Doctor of Philosophy,Adv Stdng,Biological and Biomedical Sci.,BBSPHD,Major,No Dorm,USA,6,6,3,6,3,3,1,1,2,2,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,0,0,2,0,6,1,3,6,1,1,0,0,0,0
R_SYGDp4b1aGaxgYN,GAH,Non-Degree Grad Allied Health,ND Grad,Special Standing Student,SPECSTGAH,Non-Degree,No Dorm,USA,5,4,5,3,2,1,1,4,3,3,6,7,7,5,6,6,5,4,0,4,4,4,5,4,4,5,5,0,5,3,3,1,1,0,0,0,0,0,1,3,1,4,1,0,0,0,0
R_8kbshrnN2KI6HMR,GSAS,Non-Degree Graduate School,ND Grad,Special Standing Student,SPECSTGSAS,Non-Degree,No Dorm,KOR,5,7,7,7,3,1,1,1,4,1,7,7,7,6,6,6,5,5,5,5,5,5,5,4,5,5,5,4,5,5,4,1,1,0,0,3,0,0,2,7,1,1,1,0,0,0,0
R_0UMJ5BxR9buFZ1D,MED,Doctor of Medicine,Prof 3,Doctor of Medicine,MEDDOCTR,Major,No Dorm,USA,4,3,4,2,2,1,1,4,1,1,7,7,6,6,7,7,0,5,0,0,3,0,5,5,5,5,5,5,5,1,4,1,1,0,0,2,0,3,1,5,7,4,0,1,1,0,0
R_2tu40UT0Fmin0xe,THEO,Doctor of Ministry,Grad Yr 1,Biblical Interp & Proclamation,BIBINPRCDM,Major,No Dorm,USA,5,5,5,3,4,3,1,4,3,3,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,4,4,4,4,4,5,1,0,0,0,2,0,3,1,4,5,4,0,0,1,0,0
R_2DYWONvSJzVEaNG,GSAS,Doctor of Philosophy,Adv Stdng,Epidemiology,EPIDPHD,Major,No Dorm,USA,5,7,5,5,5,1,1,5,1,1,7,6,6,7,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,1,1,1,0,2,0,2,1,5,6,4,1,0,0,0,0
R_1I4uwyWsFzzx0sJ,GSAS,Doctor of Philosophy,Adv Stdng,Anthropology,ANTHPHD,Major,No Dorm,USA,6,5,5,3,5,2,2,3,4,5,7,6,6,4,6,5,5,0,4,5,5,5,5,5,5,3,5,0,5,5,5,1,1,1,1,2,0,6,1,4,4,4,1,0,0,0,0
R_1GyotEVNxutWFU2,GSAS,Doctor of Philosophy,Adv Stdng,Art History,ARTHISTPHD,Major,No Dorm,USA,6,6,5,2,6,2,2,5,2,2,7,7,7,4,4,7,5,4,5,5,5,5,5,5,5,5,5,5,5,3,3,1,1,0,0,2,0,2,1,4,4,4,1,0,0,0,0
R_1DUVUmuz9itwdeJ,MED,Doctor of Medicine,Prof 3,Doctor of Medicine,MEDDOCTR,Major,No Dorm,USA,6,6,5,2,2,1,1,3,3,3,5,4,3,4,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,3,1,1,1,1,2,0,3,1,4,5,6,1,0,0,0,0
R_RXgVdy2u8q6HykF,PUBH,Master of Public Health,Grad Yr 1,Prevention Science,PSMPH,Major,No Dorm,USA,6,5,6,3,6,6,6,6,4,5,7,7,7,7,7,7,5,0,5,0,5,5,5,5,5,0,5,5,5,5,0,1,1,1,0,2,0,2,1,1,5,6,1,0,0,0,0
R_eWiPxLeECaYr2JX,GSAS,Doctor of Philosophy,Adv Stdng,Mathematics,MATHPHD,Major,No Dorm,USA,5,3,6,3,3,1,1,5,2,3,5,4,6,7,6,5,4,4,5,4,2,5,5,3,3,4,5,4,4,3,2,1,1,1,1,2,0,3,1,6,5,4,0,0,1,0,0
R_QfEUXrqbeP7KINz,UNUR,Bachelor of Science in Nursing,Senior,Nursing,NRBSNAM,Major,No Dorm,USA,5,5,5,5,3,1,1,2,1,3,5,6,6,7,5,5,5,3,5,4,5,4,4,3,4,5,5,3,2,3,3,1,1,1,0,3,0,0,1,2,2,4,1,0,0,0,0
R_1OZk94APRI2Plkh,GSAS,Doctor of Philosophy,Adv Stdng,Behavioral Sciences & Hlth Edu,SPHBSHEPHD,Major,No Dorm,USA,6,4,6,6,4,1,1,3,3,2,5,4,3,6,4,6,3,3,0,4,5,3,5,4,5,3,3,3,4,4,5,1,1,1,0,2,0,6,1,1,2,3,1,0,0,0,0
R_3OiGuxkeLsiDORK,PUBH,Master of Public Health,Grad Yr 1,Behavioral Sciences/Health Ed.,BSHEMPH,Major,No Dorm,USA,1,4,5,2,1,1,1,4,3,4,2,1,1,1,1,1,5,0,5,5,5,5,5,5,5,0,0,4,5,4,4,1,1,0,0,2,0,1,1,4,5,3,1,0,0,0,0
R_3lzeDTwGnj8CXyZ,GSAS,Doctor of Philosophy,Adv Stdng,Biological and Biomedical Sci.,BBSPHD,Major,No Dorm,USA,3,2,4,3,1,1,1,1,3,4,1,3,1,3,2,1,4,2,2,5,4,5,5,5,3,3,5,3,5,4,4,1,1,0,0,2,0,4,1,4,6,3,1,0,0,0,0
R_3lENggjSebg2YxE,GSAS,Doctor of Philosophy,Adv Stdng,Biological and Biomedical Sci.,BBSPHD,Major,No Dorm,USA,5,6,4,5,2,1,1,1,4,4,6,6,5,3,3,4,4,5,5,5,2,5,5,3,4,3,3,5,4,5,5,1,1,1,1,2,0,5,1,5,4,4,0,0,1,0,0
R_1IAil2S55SLJSGC,PUBH,Master of Public Health,Grad Yr 1,Behavioral Sciences/Health Ed.,BSHEMPH,Major,No Dorm,USA,5,5,5,6,5,2,1,4,5,3,5,5,4,6,4,5,5,5,5,5,5,0,5,0,5,3,5,0,5,3,4,1,1,0,0,2,0,1,1,6,4,3,1,0,0,0,0
